sqldate,eventcode,actor1name,actor2name,sourceurl,url_text,qwen_just_URL
20210101,130,GERMANY,,https://www.e110.de/terrorakte-vielleicht-verhindert/,terrorakte vielleicht verhindert,"Sentiment: negative
Reason: mentions potential prevented terrorism."
20220101,43,,CHILE,http://www.funkuhr.de/fernsehprogramm/sendungsdetails/169446982/pumas-in-der-wildnis-patagoniens.html,fernsehprogramm sendungsdetails pumas der wildnis patagoniens html,"Sentiment: unclear  
Reason: Insufficient context for sentiment analysis."
20220101,112,,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,brasil bolsonaro eleito corrupto ano por consorcio internacional,"Sentiment: negative
Reason: Mentions corruption and international consortium in relation to Bolsonaro's election."
20220101,46,,AUTHORITIES,https://ria.ru/20220102/status-1766397981.html,status html,"Sentiment: unclear  
Reason: Insufficient context."
20220101,110,,PRIME MINISTER,https://www.aftenposten.no/verden/i/OrevnE/foerste-nyttaarsdag-ble-det-registrert-over-160000-koronatilfeller-i-en,verden orevne foerste nyttaarsdag ble det registrert over koronatilfeller,"Sentiment: unclear  
Reason: The text is in Norwegian and provides no clear indication of sentiment."
20220101,190,,PRESIDENT,https://alquds.com/2022/01/01/%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-%D8%AE%D9%84%D8%A7%D9%84-%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A8%D8%B1%D9%82%D8%A9/,إصابات خلال مواجهات برقة,"Sentiment: negative
Reason: 叙述了冲突导致的伤亡，通常与负面事件相关。"
20220101,42,,ITALIAN,https://www.interris.it/copertina/perno-opbg-omicron-bambini/,copertina perno opbg omicron bambini,"Sentiment: unclear
Reason: Insufficient context for sentiment analysis."
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,actualite social mobilisation sociale pointe pitre elie domota ete arrete php,"Sentiment: unclear  
Reason: Insufficient context for sentiment analysis."
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,actualite social mobilisation sociale pointe pitre elie domota ete arrete php,"Sentiment: unclear  
Reason: Insufficient context for sentiment analysis."
20220101,1823,,MILITARY,https://www.franceguyane.fr/actualite/france/feminicides-deux-hommes-en-garde-a-vue-le-jour-du-nouvel-an-494064.php,actualite france feminicides deux hommes garde vue jour nouvel php,"Sentiment: negative
Reason: Mention of ""feminicides"" indicates a tragic event."
