sqldate,eventcode,actor1name,actor2name,sourceurl,pressure_url_1,reason_url_1,model_url_1,pressure_url_2,reason_url_2,model_url_2,reason_article,model_article,pressure_final,reason_final
20210101,130,GERMANY,,https://www.e110.de/terrorakte-vielleicht-verhindert/,push,acts of terrorism,qwen2.5:7b,,,qwen2.5:72b,,qwen2.5:7b,push,acts of terrorism
20220101,43,,CHILE,http://www.funkuhr.de/fernsehprogramm/sendungsdetails/169446982/pumas-in-der-wildnis-patagoniens.html,neutral,wilderness of patagonia,qwen2.5:7b,neutral,URL tokens do not indicate migration pressure,qwen2.5:72b,No migration-related content,qwen2.5:7b,unclear,wildnis-patagoniens
20220101,112,,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,push,corrupt-of-the-year,qwen2.5:7b,,,qwen2.5:72b,,qwen2.5:7b,push,corrupt-of-the-year
20220101,46,,AUTHORITIES,https://ria.ru/20220102/status-1766397981.html,neutral,No clear migration-related tokens,qwen2.5:7b,unclear,URL too short or ambiguous,qwen2.5:72b,"Article discusses UN status, not migration conditions.",qwen2.5:7b,unclear,status-1766397981
20220101,110,,PRIME MINISTER,https://www.aftenposten.no/verden/i/OrevnE/foerste-nyttaarsdag-ble-det-registrert-over-160000-koronatilfeller-i-en,neutral,new year's day corona case-in-one,qwen2.5:7b,push,coronatilfeller (COVID cases) may cause people to leave Norway,qwen2.5:72b,,qwen2.5:7b,push,coronatilfeller (COVID cases) may cause people to leave Norway
20220101,190,,PRESIDENT,https://alquds.com/2022/01/01/%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-%D8%AE%D9%84%D8%A7%D9%84-%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A8%D8%B1%D9%82%D8%A9/,push,corrupt-of-the-year,qwen2.5:7b,,,qwen2.5:72b,,qwen2.5:7b,push,corrupt-of-the-year
20220101,42,,ITALIAN,https://www.interris.it/copertina/perno-opbg-omicron-bambini/,neutral,pin-opbg-omicron-children,qwen2.5:7b,neutral,URL tokens do not indicate migration pressure,qwen2.5:72b,Article discusses Omicron variant details without migration focus.,qwen2.5:7b,unclear,pin-opbg-omicron-children
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,neutral,social-mobilization-in-pointe-a-pitre-elie-domota-was-arrested,qwen2.5:7b,push,arrete (arrest) may signal social unrest causing people to leave Guadeloupe,qwen2.5:72b,,qwen2.5:7b,push,arrete (arrest) may signal social unrest causing people to leave Guadeloupe
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,neutral,social-mobilization-in-pointe-a-pitre-elie-domota-was-arrested,qwen2.5:7b,push,arrest (arrest),qwen2.5:72b,,qwen2.5:7b,push,arrest (arrest)
20220101,1823,,MILITARY,https://www.franceguyane.fr/actualite/france/feminicides-deux-hommes-en-garde-a-vue-le-jour-du-nouvel-an-494064.php,neutral,feminicides-two-men-in-custody-on-new-years-day,qwen2.5:7b,neutral,feminicides,qwen2.5:72b,,qwen2.5:7b,push,"threat with weapons, potential job loss"
20220101,43,,POLE,https://as.com/futbol/2022/01/01/primera/1641057005_745473.html,neutral,No clear migration-related tokens,qwen2.5:7b,neutral,URL too short for context,qwen2.5:72b,Potential for job opportunities in Real Madrid for Mbappé and Haaland,qwen2.5:7b,pull,Potential for job opportunities in Real Madrid for Mbappé and Haaland
20220101,51,,SAUDI ARABIA,https://www.okaz.com.sa/news/na/2092790,neutral,No clear migration-related tokens,qwen2.5:7b,unclear,URL too short,qwen2.5:72b,describes conflicts and violence in Yemen,qwen2.5:7b,push,describes conflicts and violence in Yemen
20220101,51,,SAUDI ARABIA,https://www.okaz.com.sa/news/na/2092790,neutral,No clear migration-related tokens,qwen2.5:7b,unclear,URL too short,qwen2.5:72b,describes conflicts and violence in Yemen,qwen2.5:7b,push,describes conflicts and violence in Yemen
20220101,20,,INTELLIGENCE,https://www.diariolaprovinciasj.com/elpais/2022/1/1/cuales-son-los-sectores-que-tendran-mayor-demanda-laboral-en-2022-165873.html,pull,sectors that will have greater labor demand,qwen2.5:7b,,,qwen2.5:72b,,qwen2.5:7b,pull,sectores que tendran mayor demanda laboral
20220101,42,,VENEZUELAN,https://noticias.uol.com.br/ultimas-noticias/efe/2022/01/01/chanceler-venezuelano-pede-que-bolsonaro-aprove-transferencia-de-migrantes.htm,push,Venezuelan chanceler asks for transfer of migrants,qwen2.5:7b,,,qwen2.5:72b,,qwen2.5:7b,push,Venezuelan chanceler asks for transfer of migrants
20220101,20,,BASQUE,https://omirante.pt/cavaleiro-andante/2022-01-01-Em-Abrantes-nada-como-dantes-a2fb5365,neutral,No clear migration-related tokens,qwen2.5:7b,neutral,No clear migration-related tokens,qwen2.5:72b,"article discusses local politics, not migration",qwen2.5:7b,unclear,No clear migration-related tokens
20220101,50,,CATALAN,https://sport1.oslobodjenje.ba/s1/fudbal/ino-fudbal/primera/postigao-dogovor-sa-kataloncima-barcelona-sljedeceg-ljeta-dobija-veliko-pojacanje-721568,neutral,No clear migration-related tokens,qwen2.5:7b,neutral,No clear migration-related tokens,qwen2.5:72b,"Article focuses on sports and lifestyle, not migration conditions.",qwen2.5:7b,unclear,No clear migration-related tokens
20220101,51,,INDIGENOUS,https://g1.globo.com/mundo/noticia/2022/01/01/a-epidemia-de-desaparecimentos-de-indigenas-que-intriga-os-eua.ghtml,push,epidemic of disappearances of indigenous people that intrigues the USA,qwen2.5:7b,,,qwen2.5:72b,,qwen2.5:7b,push,epidemia de desaparecimentos de indigenas que intriga os eua
20220101,51,,INDIGENOUS,https://g1.globo.com/mundo/noticia/2022/01/01/a-epidemia-de-desaparecimentos-de-indigenas-que-intriga-os-eua.ghtml,push,epidemic of disappearances of indigenous people that intrigues the USA,qwen2.5:7b,,,qwen2.5:72b,,qwen2.5:7b,push,epidemic of disappearances of indigenous people that intrigues the USA
