sentiment_final,reason_final
negative,terrorakte vielleicht-verhindert
neutral,pumas in der wildnis patagoniens
negative,corrupto do ano
neutral,status update
neutral,nyttaarsdag coronatilfeller
neutral,news article
neutral,corona bambini
negative,mobilisation sociale arrete
negative,mobilisation sociale arrete
negative,feminicides garde a vue
neutral,news article
neutral,news article
neutral,news article
neutral,job market article
neutral,international news
neutral,historical article
neutral,football news
negative,disappearance of indigenous people
negative,disappearance of indigenous people
neutral,URL contains no sentiment-indicative words.
negative,corrupto
negative,corrupto
neutral,calendar signs
neutral,business news
neutral,URL contains no sentiment-indicative words.
negative,euthanasia legal
negative,euthanasia legal
neutral,tv show
positive,diplomatic opening
negative,covid-19 cases
neutral,news article about traditions
positive,government work for well-being and progress
negative,social unrest reported
neutral,police report of incidents
positive,praise from mayor
positive,library offers activities during holidays
negative,fires damage cars in Russia
neutral,opinion piece on pressing issues
neutral,introduction to Brazil for beginners
positive,celebration of new year with 100 thousand balloons
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
neutral,No sentiment indicators in URL.
negative,immigration illegal
negative,immigration illegal
negative,immigration illegal
neutral,news article title
neutral,news article title
neutral,URL contains no sentiment-indicative words.
neutral,URL contains no sentiment-indicative words.
neutral,opinion piece title
negative,status update negative tone
neutral,titled exchange of prisoners
neutral,news report
neutral,horoscope article
neutral,repeated url
neutral,education news
negative,coronavirus report
positive,new year's films
positive,repeated url
neutral,football news
neutral,repeated url
neutral,repeated url
neutral,official announcement
neutral,informational content
negative,conflict reporting
neutral,news article
neutral,URL contains no sentiment-indicative words.
neutral,news article
negative,conflict reporting
negative,conflict reporting
negative,conflict reporting
neutral,health news
neutral,News report
neutral,News report
neutral,News report
neutral,News report
neutral,News report
neutral,News report
neutral,News report
neutral,News report
neutral,News report
neutral,Local news report
neutral,No sentiment keywords
neutral,No sentiment keywords
neutral,No sentiment keywords
negative,immigrazione illegale su vasta scala
positive,destinasi wisata halal di Korea Selatan
neutral,Mobilization sociale
neutral,Mobilization sociale
neutral,Editoriale politico
neutral,Editoriale politico
neutral,Futuro不明朗
neutral,official news article
neutral,general news article
neutral,general news article
neutral,society news article
neutral,editorial political
neutral,travel and tourism
neutral,international relations
neutral,sports news article
negative,conflict reporting
negative,war conflict
neutral,URL contains news about Israeli strikes on Gaza.
neutral,URL contains news about Israeli strikes on Gaza in Arabic.
neutral,URL contains news about Israeli strikes on Gaza.
neutral,URL contains news about Israeli strikes on Gaza.
neutral,URL contains news about Israeli strikes on Gaza in Arabic.
neutral,URL contains news about an event in Jerusalem.
neutral,URL contains news about an event in Jerusalem.
neutral,URL contains news about illegal immigration in Italy.
neutral,URL contains news about South African immigrants bidding farewell to Desmond Tutu.
neutral,URL contains news about a former chief of Romanian intelligence services writing in Zilei Luare甚至在更广泛的范围内，我无法直接从这些网址中提取出明确的情感信息。
neutral,news article about museum
positive,novel recommendations for families
negative,drought threat to people and animals
neutral,editorial on political topic
neutral,race event report
neutral,race event report
neutral,race event report
neutral,race event report
neutral,race event report
neutral,race event report
neutral,news event report
neutral,website article
neutral,website article
neutral,news event report
neutral,website article
neutral,website article
neutral,website article
neutral,website article
positive,new year's family-friendly selection
negative,news of disappearances of indigenous people
neutral,URL related to news
neutral,URL related to news
neutral,URL related to news
positive,Fudbal related term
negative,Kramatorsk.info URL indicates conflict region
negative,Same as above
neutral,Logistyka.rp.pl news article
neutral,Same as above
neutral,Same as above
negative,Tragedy and violence
neutral,news on business
neutral,celebrity fashion
negative,manifestations against health measures
neutral,No clear sentiment indicators in URL
positive,projecting good future
positive,projecting good future
neutral,sports news
neutral,sports news
negative,opinion on conflict
neutral,No clear sentiment indicators in URL
neutral,no sentiment indicators in URL
neutral,no sentiment indicators in URL
neutral,no sentiment indicators in URL
neutral,no sentiment indicators in URL
neutral,no sentiment indicators in URL
negative,"hospitalise, critical state"
neutral,no sentiment indicators in URL
neutral,no sentiment indicators in URL
negative,"prison, hunger strike"
neutral,"coronavirus statistics, no clear sentiment"
negative,prision huelga hambre
negative,prision huelga hambre
neutral,política interna
